"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","prediction9","prediction10","timeToPredict","Correct"
"1380","Because of Mr Bull’s disability, officers had been in the habit of telling him when they were going out of the office. Some of them stopped doing so and ceased communicating with him.","because of mr bull’s disability officers had been in the habit of",13,"telling","most","world","year","best","day","night","first","time","way","things",0.0400000000008731,FALSE
"1381","The original US cover...","the original us",4,"cover","believe","know","just","can","little","military","see","time","much","back",0.0200000000040745,FALSE
"1382","Citizen Times: And what is that perspective?","citizen times and what",5,"is","was","is","they",NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"1383","Beads and ear rings: Mandala_ pearl rain","beads and ear rings",5,"mandala","nothing","brain","mandala",NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"1384","wow! i almost forgot i had this blog! okay, not really. in fact, during all this time that i have not been blogging here, i've come across many inspiring things that i wanted to write about.","wow i",3,"almost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"1385","What problem","what",2,"problem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"1386","A recent article posted in Shewood Time featured this gorgeous photo of Holly's fab cupcake case! Drooling yet? Tyler Texas, Congrats on having your own cupcake angel, Holly of Ganache!","a recent article posted in shewood time featured this gorgeous photo of hollys fab",15,"cupcake","paper","cupcake","pore",NA,NA,NA,NA,NA,NA,NA,0.0400000000008731,TRUE
"1387","Mesdan arches an eyebrow quizzically as he reads her latest message. “I wasn’t even here for that, Eliss. You’re being too impulsive-”","mesdan arches an eyebrow quizzically as he",8,"reads","walked","was",NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"1388","But there was no hope of concentrating on the books or their titles. She was outraged and tired and feeling completely lonesome and helpless. All she really wanted was to go to sleep but she was still too wound up from the day’s events.","but there was no hope of concentrating on the books or",12,"their","other","one","berkom","get","will","just","another","even","im","since",0.0300000000061118,FALSE
"1389","Few things can help an individual more than to place responsibility on him, and to let him know that you trust him. - Booker T. Washington","few things can help an individual more than",9,"to","one","anything","three","likely","half","ten","the",NA,NA,NA,0.0299999999988358,FALSE
"1390","Hope you like it :) I dig this creepy b+w picture of Charlie infront of a mansion. It's a mix between the adams family and eddie munster haha","hope you like it i dig this creepy bw picture of charlie infront of",15,"a","mansion",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE
"1391","Never ask why.","never ask",3,"why","questions","support","can","just","really","two","lot","well","dont","question",0,FALSE
"1392","In short, I guess this reminds me more of a tinted moisturiser than a BB cream - although I've had better coverage even with the Laura Mercier Tinted Moisturiser!","in short i guess this reminds me more",9,"of","us","exactly","strongly","tinted","bridget",NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"1393","Or stuck in it giving birth?","or stuck in it",5,"giving","and",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"1394","please don't worry about me. She knows I'm going to be just fine.","please dont worry about me she knows im going to be",12,"just","able","the","in","an","on","so","back","better","seen","used",0.0200000000040745,FALSE
"1395","Fresh cilantro","fresh",2,"cilantro","air","cilantro","ginger","sauce","tomatoes","green","interested","muscles","ears","chinese",0.0199999999967986,TRUE
"1396","If I sound like I’m being overly harsh on a show that never marketed itself as being anything other than a primetime soap, I make no apologies. There are far better shows out there playing that game. What made Ringer infuriating was its insistence on insulting its audience with in-episode flashbacks, and characters so stupid it made it seem like the entirety of Lower Manhattan was experiencing carbon monoxide poisoning (if one more person, apropos of nothing, reminds Bridget of things Siobhan regularly does or doesn’t do I’ll kill her myself). If you’re going to earn yourself a reputation as a place where crazy plots reside, at least commit to the bit – have those bitches meet in episode seven, do a game-change in a mid-season finale, and dispatch one or more of the leads in the finale. Don’t whimper over the finish line by coasting on a mystery that you insist on not solving.","if i sound like i’m being overly harsh on a show that never",14,"marketed","get","really","forget","heard","will","want","find","seen","ever","took",0.0100000000020373,FALSE
"1397","I find flashing LED’s on headsets to be annoying and serve no purpose whatsoever.","i find flashing led’s on headsets to be annoying and",11,"serve","work","women","forced","serve","heads","admire","habit",NA,NA,NA,0.0299999999988358,TRUE
"1398","Instead I picked up 32 sts on each side of the button placket and knit 2x2 rib for 1.75"". I am still waiting for my buttons to arrive.","instead",2,"i","picked","way","will","getting","well","big","company","working","decision","oil",0.0199999999967986,FALSE
"1399","“Over the last decade there has been a significant growth in interest in aspects of people’s experience with technologies under headings such as user experience, aesthetics, affect, fun, reflection, and enjoyment. In more recent years critical theory has begun to make a small but important impact at CHI conferences and other HCI publications. It is arguable that a relationship between critical theory and experience would benefit HCI research and practice as it has benefited other areas of research in the humanities and social sciences. However, in the history of ideas experience and critical theory have not always made good bedfellows, sometimes complementing each other, sometimes resisting each other. This workshop will explore the ways in which HCI might benefit from a constructive dialogue between critical theory and experience in questions of design and evaluation.”","“over the last decade there has been a significant growth in interest in aspects of people’s experience with technologies under headings such as user experience aesthetics affect fun reflection and enjoyment in more recent years critical theory has begun to make a small but important impact at chi conferences and other hci publications it is arguable that a relationship between critical theory and experience would benefit hci research and practice as it has benefited other areas of research in the humanities and social sciences however in the history of ideas experience and critical theory have not always made good bedfellows sometimes complementing each other sometimes resisting each other this workshop will explore the ways in which hci might benefit from a constructive dialogue between critical theory and experience in questions of design",133,"and","team","make","really","work","eye","addition","anything","rumored","comic","default",0,FALSE
"1400","Again 90% Mauzac and 10% Chardonnay. Also vinified and aged in oak. Somehow the oak accentuates the difference between the Mauzac and the Crémant, giving more vinosity to the wine. Mauzac is quite a rustic unrefined grape and the oak enhances that character but in an appealing way. The nose was quite rich and rounded, with a full-bodied rich herbal palate and some soft acidity. Nicely satisfying and very intriguing. M. Delmas explained that his father used to ferment all his wine in wood, and that the practice has been somewhat lost. Eventually he would like to build up some vins de reserve, so that he can include some oaked wine in all his cuvées, but that is a long term project.","again mauzac and chardonnay also vinified and aged in oak somehow the oak accentuates the difference between the mauzac and the cr�mant giving more vinosity to the wine mauzac is quite a",33,"rustic","lot","bit","few",NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
