"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","source1","prediction2","source2","prediction3","source3","prediction4","source4","prediction5","source5","prediction6","source6","prediction7","source7","prediction8","source8","prediction9","source9","prediction10","source10","timeToPredict","Correct"
"273","Straight away, one has to think about Mycoplasma pneumonia. People at highest risk for mycoplasma pneumonia include those living or working in crowded areas such as schools, Army barracks and homeless shelters. The incubation time for Mycoplasma pneumonia is one to 4 weeks. This means that it takes one to 4 weeks after catching the bug to become ill. A bit like with chickenpox, which has an incubation time of one to 3 weeks.","straight away one has to think about mycoplasma pneumonia people at highest risk for mycoplasma pneumonia include those living or working in crowded areas such as schools army barracks and homeless shelters the incubation time for mycoplasma pneumonia is one to weeks this means that it takes one to weeks after catching the bug to become",57,"ill","a","4","become","41C","ill","31A","to","42F","ill","31B","runner","3","a","3","ill","4","become","32C","become","31B",0.279999999998836,TRUE
"274","I've made this recipe a few times, adding chunked up Heath candy bars to my traditional chocolate chip cookie recipe - my favored Toll House recipe.","ive made this recipe a few times adding chunked up heath candy bars to my traditional chocolate chip cookie",20,"recipe","recipe","3","my","2","before","2","recipe","21","sheet","2","recipe","2","cookie","21",NA,NA,NA,NA,NA,NA,0.169999999998254,TRUE
"275","Catchy new track from the young and rising lo-fi band from Cleveland, Ohio, which started as Dylan Baldi's solo project. The self-titled debut album is expected January 2011 on Carpark and Wichita.","catchy new track from the young and rising lofi band from cleveland ohio which started as dylan baldis solo project the selftitled debut album is expected january",28,"on","on","3","january","31B","expected","32C","every","2","carpark","2","native","2","st","2","perform","21","wander","21","be","21",0.220000000001164,TRUE
"276","Common Name: FROG-DOG, CAVE-TOAD","common name frogdog",4,"cavetoad","cavetoad","2","frogdog","31B","times","21","research","21","changed","21","pray","21","democracy","21","the","21","it","21","few","21",0.0800000000017462,TRUE
"277","“Soon,” I repeated, my breath catching on the word.","“soon” i repeated my breath",6,"catching","catching","3","breath","41C","breath","31B","breath","32C","air","2","this","2","on","2","point","2","catching","2","my","32C",0.180000000007567,TRUE
"278","so we can often fall in love with the human sharing our life, because that person becomes ""new"" in small ways each moment.","so we",3,"can","made","3","heard","3","took","3","went","3","easily","3","often","3","the","3","to","3","are","3","in","3",0.0799999999871943,FALSE
"279","Obadiah sat silently for a while, having forgotten his omelette and his coffee. He kept trying to remember more about his arrival in town but his mind did not budge.","obadiah sat silently for a",6,"while","while","4","a","41C","while","31A","while","31B","pink","32A","a","32B","a","32C","a","31B","for","32C","time","3",0.270000000004075,TRUE
"280","There have been three bands, or rather, two basic bands and another band that evolved from one of the basic bands, that I haven't been able to stop listening to for the past week or so.","there have been three bands or rather two basic bands and another band that evolved from one of the basic bands that i havent been able to stop listening",30,"to","to","4","to","3","to","31A","stop","42F","to","31B","that","31B","each","31B","happy","2","how","2","you","2",0.279999999998836,TRUE
"281","It ended up that he was the new tenant in the third floor apartment of Mike’s building and had just moved from out of state. Offering a helping hand and a welcome, Mike invited him to meet us for a drink when he finished. The new neighbor thanked Mike and said that he would meet up with him later.","it ended up that he was the new tenant in the third floor apartment of mike’s building and had just",21,"moved","moved","4","had","32C","sandy","3","from","3","told","3","moved","3","taken","3","returned","3","moved","31B","trying","31B",0.25,TRUE
"282","SUBJECT: Speed limit sign","subject speed",3,"limit","limit","3","switch","2","sign","2","mainmemory","2","limit","2","shifter","2","child","21","limit","21","a","21","planning","21",0.0299999999988358,TRUE
"283","DCS Williams explained that the inquiry he headed had been into Messrs Mulcaire and Goodman. When asked if it had spread wider he said, “Not that I’m aware of.”","dcs williams explained that the inquiry he headed had been into messrs mulcaire and goodman",16,"when","when","3","asked","2","goodman","31B","and","32C","half","21","am","21","suk","21","bit","21","think","21","day","21",0.190000000002328,TRUE
"284","Thrall is what he is. And that is Thrall, not Go’el.","thrall is what he is and that is thrall not",11,"go’el","not","41C","not","31B","a","41B","as","41B","not","32B","if","42F","we","42F","a","21","what","21","thrall","21",0.309999999997672,FALSE
"285","Darren Richmond! Well, HE certainly pulled himself together in a hurry, didn’t he? He even made a joke when Jamie was tying up his shoes, and again later to Gwen. I was happy to see Gwen back, actually. It’ll be interesting to see if she and Richmond and Jamie can all just work together, but so far it looks to be going okay. Richmond handled himself perfectly in the interview with the nosey lady, and it looks like Gwen at least feels she can help him win. Actually, I think maybe all three of them think she could be the one to put them over the top – if anyone can.","darren richmond well he certainly pulled himself together in a hurry didn’t he he even made a joke when jamie was tying up his shoes and again later to gwen i was happy to see gwen back actually it’ll be interesting to see if she and richmond and jamie can all just work together but so far it looks to be going okay richmond handled himself perfectly in the interview with the nosey lady and it looks like gwen at least feels she can help him win actually i think maybe all three of",95,"them","them","4","of","41C","them","31B","days","3","think","3","of","32B","of","32C","of","31B","the","3","them","3",0.25,TRUE
"286","Dr. Marvin Kennard, owner of Naples Dental Care, 785 Central Ave., told a Naples detective someone broke into his business and stole dental equipment such as a high-speed dental drill and patients' files.","dr marvin kennard owner of naples dental care central ave told a naples detective someone broke into his",19,"business","his","31B","by","31A","into","32C","hoping","3","with","3","leg","31A","car","3","business","3","eyes","3","chest","3",0.200000000011642,TRUE
"287","I think as a parent of a child with a disability there is sometimes the tiniest little check, a hesitation when I think about the future. It’s not the gasping for air, punch to the gut it used to be, but sometimes there’s a little catch in the throat as I wonder “Is it realistic?” This is often accompanied by some momma guilt (Do I have the right to wonder what’s realistic?) and some self-doubt (Do I not believe enough in my child?).","i think as a parent of a child with a disability there is sometimes the tiniest little check a hesitation when i think about the future it’s not the gasping for air punch",34,"to","the","4","the","3","to","31A","air","42F","to","31B","air","32C","to","4","to","3","inside","2","the","2",0.279999999998836,TRUE
"288","Big surprise! Since it hit the internet, however, it has had over 500,000 hits. Keep it going. All that is necessary for evil to succeed is that good men do nothing. It’s happening right now.","big surprise since it hit the internet",8,"however","internet","41C","internet","31B","the","42F","however","3","for","3","internet","32C","social","2","it","2","more","2","the","32C",0.289999999993597,TRUE
