"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","source1","prediction2","source2","prediction3","source3","prediction4","source4","timeToPredict","Correct"
"574","If there is one thing I get asked at markets, it's how do I make a little quilt from charm squares. And I would always send people off to other people's tutorials. But here it is. Finally. At last. How I make my quick charm square quilts. No nonsense. Just basic steps. I'm no quilt expert but this is how I do it and it works well for me.","if there is one thing i get asked at markets its how do i make a little quilt from charm squares and i would always send people off to other peoples tutorials but here it is finally at last how i make my quick charm square quilts no nonsense just basic steps im no quilt expert but this is how i do it and it works",67,"well","well","5","well","41A","well","41B","works","52D",1.11000000000058,TRUE
"575","And I then got an e-mail from Bob saying:","and i then got an email from",8,"bob","bob","4","bob","3","from","41C","email","52J",0.760000000002037,TRUE
"576","Regular vice-captain Shane Watson only returned to club cricket last weekend after a six-week absence with a calf injury. While Clarke said he hoped to return for Sunday’s one-dayer against India in Brisbane, team physiotherapist Alex Kountouris was non-committal.","regular vicecaptain shane watson only returned to club cricket last weekend after a sixweek absence with a calf injury",20,"while","while","4","while","3","injury","41C","while","31A",0.690000000002328,TRUE
"577","Decent ambient music is not easy to create. Usually one just hears a simple phrase being repeated again and again ad nauseam, with futile attempts to hide the monotony.","decent ambient",3,"music","music","3","is","2","music","2","of","21",0.159999999996217,TRUE
"578","exhausting him","exhausting",2,"him",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"579","Back in the dawn of time (somewhere in the 1990's I think), my Corporate Job Place was built, and some time later, an addition was added to it in order to make navigation more difficult. The ceiling is between 15 and 40 feet high in this particular cubicle farm, with padded grayish-cream colored cubicles set in neat little rows (they are the color of old lady teeth). They are a bit over five feet high, so if I stand on my tippy-toes, I can see the foreheads of other people walking around in the alleys between cubes. I am very good at identifying my coworkers by their foreheads.","back in",3,"the","the","3","a","3","week","3","and","3",0.129999999997381,TRUE
"580","Recruitment: Initially Elizabeth teaches a small group the game, but there’s still the obstacle of establishing a full team who will be up for the extreme challenge. Finally a diverse group of people are gathered from the village and surrounding areas since they have a common interest in eliminating the unfair tax by their common enemy, the British.","recruitment initially elizabeth teaches a small group the game but there’s still the obstacle of establishing a full team who will be up for the extreme challenge finally a diverse group of people are gathered from the village and surrounding areas since they have a common",47,"interest","a","42F","ep","41C","as","3","in","3",0.559999999997672,FALSE
"581","Growth in vehicle miles traveled has aligned almost perfectly with the growth(decline) in the number of employees working at automobile dealerships.","growth in vehicle miles traveled has aligned almost perfectly with the growthdecline in the number",16,"of","of","4","but","51D","of","31A","but","42C",0.640000000006694,TRUE
"582","If you have three or more names (first, middle and last), it makes it that much easier to create an elaborate story from merely the origin and meaning of your names.","if you have three or more names first middle and last it makes it that much easier to create",20,"an","an","4","an","31A","be","42E","to","42F",0.619999999995343,TRUE
"583","Earlier this year Taoiseach Enda Kenny said the Government was “determined to ensure that the IFSC is a centre of excellence for Islamic finance”.","earlier this year taoiseach enda kenny said the government",10,"was","the","42F","the","32C","the","3","to","3",0.540000000000873,FALSE
"584","So what does this have to do with legalization of drugs? Where is the connection? Here is my position. You can legalize one drug, but you cannot legalize them all. The industry will simply reinvent itself. Not to mention the prison industrial complex is driven by this industry as well. There is simply to much “legal” money tied to illegal activity.","so what does",4,"this","this","4","andrew","4","not","3","have","3",0.279999999998836,TRUE
"585","by the end of this year","by the end of this",6,"year","year","5","post","5","year","4","post","4",0.700000000004366,TRUE
"586","As in, no postage stamp.","as in no",4,"postage","postage","4","since","31A","postage","31A","that","3",0.279999999998836,TRUE
"587","“Our view is, and always has been, that as one door closes another opens. Some of the most successful writers were once in the exactly same position as you are in now so there is always hope for new writers. Please view our submission guidelines page on how to submit and which genres are most commonly accepted to our editors.”","“our view is and always has been that as one door closes another opens some of the most successful writers were once in the exactly same position as you are in now so",34,"there","there","5","so","51D","is","4","there","41A",0.989999999997963,TRUE
"588","Month of hares and haring, fleeing on fleeted foot, hills to roll down, arse over daisy chain, hurrah!","month of hares and haring fleeing on",8,"fleeted","fleeted","3","on","31B","fleeted","21","fleeing","32C",0.529999999998836,TRUE
"589","I have never, (famous last words), had a problem with parsnips germinating, so I marvel at people who try to chit their seed beforehand. Sounds like a lot of hard work to me. I simply sow three seed every six inches or so, directly in the bed. If you just sow a continuous drill, you'll have loads of thinning out to do, so don't make life any harder than it already is.","i have never famous last words had a problem with parsnips germinating so i marvel at people who try to chit their seed beforehand sounds like a lot of hard work to me i simply sow three seed every six inches or so directly in the bed if you just sow a continuous drill youll have loads of thinning out to",62,"do","do","4","to","41C","do","31A","do","31B",0.730000000003201,TRUE
"590","What exactly is our national security securing? Certainly not our liberty. We have been sacrificing ever larger chucks of our liberty to the gods of security for decades now and in the interests of securing our liberty have given it all away. Go to an airport if you want to witness the loss of liberty in all its glorious humiliation. One wonders if we actually were taken over by another power and our Constitution dismantled what exactly could they do to restrict our movements, monitor our activities and control our actions that would be any worse or oppressive than what our own government is doing right now?","what exactly is our national security securing certainly not our liberty we have been sacrificing ever larger chucks of our liberty to the gods of security for decades now and in the interests of securing our liberty have given it all away go to an airport if you want to witness the loss of liberty in all its glorious humiliation one wonders if we actually were taken over by another power and our constitution dismantled what",77,"exactly","exactly","21","want","2","had","2","needed","2",0.299999999995634,TRUE
